,AXP
2015-02-04,76.2025375366211
2015-02-05,77.22333526611328
2015-02-06,77.478515625
2015-02-09,77.45116424560547
2015-02-10,78.23497009277344
2015-02-11,78.38990783691406
2015-02-12,73.349853515625
2015-02-13,71.16249084472656
2015-02-17,72.0738754272461
2015-02-18,72.71185302734375
2015-02-19,71.45411682128906
2015-02-20,72.75743865966797
2015-02-23,73.18580627441406
2015-02-24,73.6961669921875
2015-02-25,74.89012145996094
2015-02-26,75.87443542480469
2015-02-27,74.36150360107422
2015-03-02,74.76250457763672
2015-03-03,74.65315246582031
2015-03-04,73.48654174804688
2015-03-05,73.96048736572266
2015-03-06,73.19490051269531
2015-03-09,73.37718200683594
2015-03-10,72.1012191772461
2015-03-11,72.41107940673828
2015-03-12,74.33416748046875
2015-03-13,73.45921325683594
2015-03-16,74.27950286865234
2015-03-17,73.8784408569336
2015-03-18,74.60757446289062
2015-03-19,74.31592559814453
2015-03-20,75.3731460571289
2015-03-23,74.91746520996094
2015-03-24,74.1609878540039
2015-03-25,73.01261901855469
2015-03-26,71.52704620361328
2015-03-27,71.06221008300781
2015-03-30,71.13513946533203
2015-03-31,71.4368896484375
2015-04-01,72.1775894165039
2015-04-02,72.8817367553711
2015-04-06,72.81771087646484
2015-04-07,71.6289291381836
2015-04-08,71.9581298828125
2015-04-09,72.38792419433594
2015-04-10,72.78112030029297
2015-04-13,72.4885025024414
2015-04-14,72.689697265625
2015-04-15,72.92745208740234
2015-04-16,73.98821258544922
2015-04-17,70.70532989501953
2015-04-20,70.623046875
2015-04-21,70.66875457763672
2015-04-22,71.72953033447266
2015-04-23,71.46432495117188
2015-04-24,71.31802368164062
2015-04-27,70.86078643798828
2015-04-28,70.86078643798828
2015-04-29,70.55901336669922
2015-04-30,70.82421875
2015-05-01,71.0345458984375
2015-05-04,71.58322143554688
2015-05-05,71.18084716796875
2015-05-06,71.18999481201172
2015-05-07,71.72037506103516
2015-05-08,72.22332000732422
2015-05-11,72.8817367553711
2015-05-12,72.31477355957031
2015-05-13,73.02803802490234
2015-05-14,73.8418960571289
2015-05-15,73.35724639892578
2015-05-18,73.31150817871094
2015-05-19,74.39971923828125
2015-05-20,74.03394317626953
2015-05-21,73.85104370117188
2015-05-22,74.29911804199219
2015-05-26,73.32981872558594
2015-05-27,73.25666046142578
2015-05-28,73.23837280273438
2015-05-29,72.9000244140625
2015-06-01,72.6714096069336
2015-06-02,73.14691925048828
2015-06-03,73.70474243164062
2015-06-04,72.5708236694336
2015-06-05,72.59825897216797
2015-06-08,72.06786346435547
2015-06-09,72.39707946777344
2015-06-10,73.32981872558594
2015-06-11,73.430419921875
2015-06-12,72.72627258300781
2015-06-15,72.47023010253906
2015-06-16,72.5708236694336
2015-06-17,73.44868469238281
2015-06-18,73.86019134521484
2015-06-19,73.32981872558594
2015-06-22,74.29911804199219
2015-06-23,74.39971923828125
2015-06-24,73.832763671875
2015-06-25,73.04631042480469
2015-06-26,73.04631042480469
2015-06-29,71.14427185058594
2015-06-30,71.33702850341797
2015-07-01,71.96116638183594
2015-07-02,71.7867660522461
2015-07-06,71.21769714355469
2015-07-07,71.18098449707031
2015-07-08,69.69403839111328
2015-07-09,70.07036590576172
2015-07-10,70.96068572998047
2015-07-13,72.08051300048828
2015-07-14,72.484375
2015-07-15,72.08966064453125
2015-07-16,72.43846893310547
2015-07-17,72.71383666992188
2015-07-20,72.78726196289062
2015-07-21,72.46600341796875
2015-07-22,72.5027084350586
2015-07-23,70.68533325195312
2015-07-24,69.66648864746094
2015-07-27,68.76699066162111
2015-07-28,68.94138336181639
2015-07-29,69.48292541503906
2015-07-30,69.86841583251953
2015-07-31,69.81334686279297
2015-08-03,69.73992156982422
2015-08-04,69.50127410888672
2015-08-05,69.38195037841797
2015-08-06,68.84041595458984
2015-08-07,73.17278289794922
2015-08-10,74.58629608154297
2015-08-11,74.65972137451172
2015-08-12,74.34764099121094
2015-08-13,74.12735748291016
2015-08-14,74.26502227783203
2015-08-17,74.34764099121094
2015-08-18,74.56793975830078
2015-08-19,74.30174255371094
2015-08-20,72.2916030883789
2015-08-21,70.70369720458984
2015-08-24,68.51914978027344
2015-08-25,67.48196411132811
2015-08-26,69.41867828369139
2015-08-27,70.56602478027344
2015-08-28,70.35489654541016
2015-08-31,70.41915130615234
2015-09-01,67.92255401611328
2015-09-02,68.78533935546875
2015-09-03,69.07906341552734
2015-09-04,67.99598693847656
2015-09-08,69.29017639160156
2015-09-09,68.95055389404297
2015-09-10,69.12496185302734
2015-09-11,69.29933929443361
2015-09-14,68.96891784667969
2015-09-15,70.21720123291016
2015-09-16,70.9698715209961
2015-09-17,70.73123168945312
2015-09-18,69.71237945556639
2015-09-21,70.4375228881836
2015-09-22,69.49208831787111
2015-09-23,69.41867828369139
2015-09-24,68.55588531494139
2015-09-25,68.93218994140625
2015-09-28,67.31674194335939
2015-09-29,67.09644317626953
2015-09-30,68.04183959960939
2015-10-01,67.82155609130861
2015-10-02,68.29887390136719
2015-10-05,70.95152282714844
2015-10-06,70.59355163574219
2015-10-07,71.1095199584961
2015-10-08,71.1095199584961
2015-10-09,71.24769592285156
2015-10-12,71.22927856445312
2015-10-13,70.57512664794922
2015-10-14,70.17893218994139
2015-10-15,70.7041244506836
2015-10-16,71.13714599609375
2015-10-19,70.94365692138672
2015-10-20,70.89759063720703
2015-10-21,70.4922103881836
2015-10-22,66.79759216308594
2015-10-23,68.72321319580078
2015-10-26,68.35467529296875
2015-10-27,68.1888427734375
2015-10-28,68.59422302246094
2015-10-29,68.38231658935547
2015-10-30,67.49783325195311
2015-11-02,68.12434387207031
2015-11-03,68.20726013183594
2015-11-04,68.24413299560547
2015-11-05,68.11513519287111
2015-11-06,68.45602416992189
2015-11-09,67.64524078369139
2015-11-10,67.59916687011719
2015-11-11,67.17536926269531
2015-11-12,66.31850433349611
2015-11-13,65.59983825683594
2015-11-16,66.02367401123047
2015-11-17,65.51692962646484
2015-11-18,66.47514343261719
2015-11-19,67.01872253417969
2015-11-20,66.72389221191406
2015-11-23,66.55803680419922
2015-11-24,65.99603271484375
2015-11-25,66.05133056640625
2015-11-27,66.19872283935547
2015-11-30,66.0052490234375
2015-12-01,66.52118682861328
2015-12-02,65.59983825683594
2015-12-03,64.88120269775389
2015-12-04,65.50770568847656
2015-12-07,65.05625915527344
2015-12-08,64.41133117675781
2015-12-09,64.36524963378906
2015-12-10,64.59557342529297
2015-12-11,63.44389724731445
2015-12-14,63.41626358032226
2015-12-15,64.6324462890625
2015-12-16,65.14840698242189
2015-12-17,64.09803771972656
2015-12-18,62.53176879882813
2015-12-21,63.02007293701172
2015-12-22,63.4346809387207
2015-12-23,64.46658325195311
2015-12-24,64.64166259765625
2015-12-28,64.27311706542969
2015-12-29,65.0009765625
2015-12-30,64.64166259765625
2015-12-31,64.07963562011719
2016-01-04,62.27378845214844
2016-01-05,61.31560134887695
2016-01-06,59.61288833618164
2016-01-07,59.07616806030274
2016-01-08,58.8818473815918
2016-01-11,59.27051162719727
2016-01-12,59.59439086914063
2016-01-13,58.1600456237793
2016-01-14,58.56721878051758
2016-01-15,58.21557235717773
